id,univ_rank,univ_factor,major_rank,major_factor,know_reason,prof_exp,study_hard,time_eff,edu_doubt,learn_fun,study_mate,try_hard,write_vol,find_data,self_study,try_fail,get_fdbk,real_appl,ask_q,fit_major,enjoy_major,cont_major,int_major,rechoice_major,why_not_rechoice,move_univ,change_major,change_career,take_leave,drop_out,go_abroad,go_grad,work_fee,has_future_job,future_job_desc,job_region,has_income,has_major_income,income_class,income_contest,income_perf,income_broadcast,income_studio,income_creator,income_choreo,info_dept,info_career_center,info_online,info_family,info_friends,info_academy,info_self,help_financial,help_resume,help_career,help_social,help_no,smoke_exp,drink_freq,exercise_reg,weight_control,burnout,mental_health,physical_health,birth_area,current_area,housing_type,housing_infra,housing_transit,housing_safety,housing_hygiene,housing_green,housing_culture,housing_edu,housing_neighbor,move_for_univ,stay_after,non_stay_reason,lecture_fac,support_fac,scholarship,tuition,transport,prac_cls,theory_cls,prof_effort,lecture_qual,admin_serv,car_spt,intern_abroad,total_univ,career_course,career_mentoring,job_test,job_prep,field_practice,abroad_practice,job_info,job_fair,prof_hi,prof_chat,prof_class_talk,prof_other_talk,prof_career,prof_personal,prof_grade,prof_event,peer_personal,peer_class,peer_study,peer_career,peer_advice,peer_event,peer_external,students_diligent,course_variety,student_interact,prof_passion,prof_access,major_belong,major_proud,univ_belong,univ_proud,gender,grade,enter_type,enter_year,major_detail,dance_years,exp_solo_comp,exp_group_comp,exp_concours,exp_perf,exp_video,exp_broadcast,univ_name,univ_area,univ_course_year
11,2,peer_advice,1,on_interest,4,4,5,4,2,4,5,4,4,3,5,5,5,5,4,5,5,4,5,1,,1,1,3,2,1,1,3,4,0,,wherever,1,0,,,,,,,,,,,,,,,,,,,,1,4,4,lose_weight,1,4,5,yeongnam,yeongnam,independent,4,3,4,4,3,3,3,3,1,0,family_location,4,4,4,3,5,4,4,3,4,3,3,3,,0,1,1,0,1,0,1,0,5,4,4,3,3,2,4,5,4,5,3,3,5,5,4,4,4,3,4,4,5,5,5,5,0,2,early,2024,choreo,4to7,0,1,1,1,1,0,yu,yeongnam,4
12,1,parent_teacher,1,suggested,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,1,,3,3,3,3,3,3,3,3,0,,wherever,0,0,,,,,,,,,,,,,,,,,,,,1,3,1,no_weight,0,3,3,seoul,yeongnam,independent,3,3,3,3,3,3,3,3,0,0,better_culture,3,3,3,3,3,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,early,2024,jazzdance,less2,1,0,1,1,0,0,yu,yeongnam,4
13,2,major_apportunity,1,on_interest,5,5,5,4,3,4,4,3,4,3,4,4,4,4,3,5,5,4,5,1,,3,3,3,3,1,1,1,4,0,,seoul,0,0,,,,,,,,,,,,,,,,,,,,1,4,3,lose_weight,1,5,5,yeongnam,yeongnam,parents,3,3,3,3,3,3,3,3,0,1,,5,4,5,5,5,5,5,5,5,5,5,5,,1,1,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,early,2025,jazzdance,less2,1,1,1,1,0,0,yu,yeongnam,4
14,1,parent_teacher,1,on_interest,4,4,4,3,4,4,4,3,1,1,4,4,4,4,1,5,5,5,5,0,,1,1,1,1,1,1,4,5,1,"pe_teacher, instructor, dancer, choreographer",seoul,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,3,4,4,5,5,1,4,1,lose_weight,1,2,2,yeongnam,yeongnam,parents,4,4,4,4,4,4,4,4,0,0,better_job,3,3,2,2,4,3,2,4,4,4,3,3,,0,0,1,0,0,0,1,0,5,3,3,3,3,3,4,4,4,5,5,5,4,5,5,4,4,4,4,4,1,5,1,5,0,1,early,2025,streetdance,2to4,1,1,1,1,1,0,yu,yeongnam,4
15,2,commute_near,1,on_interest,3,3,4,3,3,3,5,4,3,3,4,4,4,3,3,5,4,4,5,1,,1,1,1,1,1,1,1,4,1,academy_instructor,seoul,1,0,,,,,,,,,,,,,,,,,,,,1,4,4,lose_weight,0,5,5,yeongnam,yeongnam,parents,3,3,3,3,3,3,3,3,0,0,better_job,4,4,4,3,3,3,3,4,4,4,4,4,,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,3,0,1,early,2025,choreo,less2,1,1,1,1,1,0,yu,yeongnam,4
16,2,major_apportunity,1,on_interest,4,4,4,4,4,3,4,3,4,2,3,4,3,3,2,3,3,3,3,0,,1,2,3,1,1,1,3,3,1,"afterschool_instructor, academy_instructor",yeongnam,1,0,,,,,,,,,,,,,,,,,,,,1,4,3,lose_weight,1,4,4,yeongnam,yeongnam,parents,3,3,3,3,3,3,3,3,0,1,,3,4,3,2,4,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,4,4,4,4,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,3,4,4,4,4,0,1,early,2025,streetdance,2to4,1,0,1,1,0,0,yu,yeongnam,4
17,3,edu_structure,1,career_goals,3,4,5,5,3,4,5,4,3,3,5,5,5,5,3,5,4,4,5,1,,1,1,1,1,1,3,5,1,1,"pe_teacher, educator",wherever,0,0,,,,,,,,,,,,,,,,,,,,1,4,5,keep_weight,1,5,5,yeongnam,yeongnam,independent,3,3,4,4,4,3,3,3,1,0,reduce_housing_cost,5,5,5,2,5,5,5,5,5,5,5,5,,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,0,1,early,2025,sportsdance,over10,1,1,1,1,1,0,yu,yeongnam,4
18,2,major_apportunity,2,on_interest,4,3,5,3,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,,1,1,1,1,1,1,1,1,1,afterschool_instructor,yeongnam,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,5,5,5,5,1,5,3,lose_weight,0,5,5,yeongnam,yeongnam,independent,3,3,3,3,3,3,3,3,1,0,reduce_housing_cost,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,0,1,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,early,2023,bellydance,over10,1,0,1,1,0,0,yu,yeongnam,4
19,3,major_apportunity,1,on_interest,5,4,4,5,3,5,5,5,4,5,5,5,5,5,5,4,4,4,4,0,,1,1,3,1,1,1,4,1,0,,wherever,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,5,5,5,5,4,2,2,gain_weight,1,1,1,honam,honam,parents,3,3,3,3,3,3,3,3,0,1,,5,5,3,3,3,3,3,5,5,3,5,5,,1,1,0,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,5,5,5,5,5,5,0,4,transfer,2024,streetdance,over10,1,1,1,1,1,1,dsu,honam,4
20,1,major_apportunity,1,on_interest,4,4,3,3,4,4,4,3,2,2,3,4,3,3,3,4,4,4,4,1,,2,2,2,2,2,2,3,2,0,,honam,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3,3,3,3,4,4,4,3,lose_weight,1,3,3,honam,honam,independent,3,3,3,3,3,3,3,3,1,1,,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,0,4,early,2022,choreo,4to7,1,1,1,1,1,1,dsu,honam,4
21,1,major_apportunity,1,on_interest,4,4,3,3,5,4,4,3,1,3,4,4,2,4,2,4,4,4,4,1,,1,1,1,1,1,2,3,1,0,,seoul,1,1,1,1,1,,,,,1,0,0,0,0,1,0,4,4,4,4,5,1,4,3,no_weight,1,3,3,honam,honam,parents,3,3,3,3,3,3,3,3,0,1,,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,4,4,4,5,3,5,5,3,5,5,5,5,5,5,1,4,transfer,2024,streetdance,4to7,1,1,1,1,0,0,dsu,honam,4
22,3,parent_teacher,1,on_interest,4,4,4,4,2,4,4,3,3,3,3,4,4,4,3,4,4,3,4,1,,2,4,4,2,2,3,4,4,0,,seoul,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,4,4,4,4,2,1,3,3,keep_weight,1,4,4,honam,honam,parents,3,3,3,3,3,3,3,3,0,1,,4,4,4,4,4,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0,4,early,2022,streetdance,4to7,1,1,1,1,0,0,csu,honam,4
23,3,prefer_prof,1,career_goals,4,4,5,3,4,4,4,3,3,3,5,4,3,4,3,4,4,5,5,1,,1,1,1,1,1,1,1,3,0,,seoul,1,1,1,1,1,,,,,,,1,,1,,,3,3,3,4,4,1,4,3,keep_weight,1,4,4,honam,honam,parents,3,3,3,3,3,3,3,3,0,1,,4,4,4,4,3,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,transfer,2024,streetdance,4to7,1,1,0,1,1,0,dsu,honam,4
24,1,major_apportunity,1,on_interest,5,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,,1,1,1,1,1,1,5,5,1,professor,seoul,1,1,1,,1,,,,,,,1,,,1,,4,5,5,5,5,3,4,4,keep_weight,1,4,2,honam,honam,parents,3,3,3,3,3,3,3,3,0,0,better_job,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,transfer,2024,streetdance,4to7,1,1,1,1,1,1,dsu,honam,4
25,3,major_apportunity,1,on_interest,2,2,1,2,5,1,1,4,4,3,5,5,5,5,3,5,5,5,5,1,,1,1,1,1,1,4,4,5,1,educator,honam,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,3,5,5,5,4,3,4,4,lose_weight,1,2,3,honam,honam,parents,3,3,3,3,3,3,3,3,0,1,,5,3,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,transfer,2024,streetdance,over10,1,1,1,1,1,0,dsu,honam,4
26,1,commute_near,1,on_interest,5,5,4,4,3,4,5,4,3,3,4,5,5,5,3,5,5,5,5,1,,3,1,1,1,1,1,3,4,1,"educator, dancer",wherever,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,4,5,5,5,5,4,2,3,keep_weight,1,4,2,honam,honam,independent,4,4,4,4,4,4,4,4,0,1,,5,5,5,5,5,5,5,5,5,5,5,5,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,1,4,transfer,2024,streetdance,over10,1,1,1,1,1,1,dsu,honam,4
27,1,major_apportunity,1,on_interest,5,5,5,4,5,5,5,3,5,2,5,4,4,5,3,5,5,5,5,1,,1,1,1,1,1,1,5,5,1,teacher,honam,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,5,5,4,5,5,4,4,2,lose_weight,1,2,1,honam,honam,parents,3,4,3,3,3,3,3,3,0,1,,4,2,5,5,1,5,5,5,5,5,5,5,,1,0,0,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,4,transfer,2024,streetdance,7to10,1,1,1,1,1,0,dsu,honam,4
28,2,prefer_prof,1,on_interest,4,4,4,4,4,5,4,3,2,3,4,3,3,3,2,4,4,3,4,1,,1,3,3,1,1,1,1,5,1,"academy_instructor, backup_dancer ",seoul,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,4,5,5,5,5,2,4,3,keep_weight,1,2,3,honam,honam,independent,3,4,3,3,3,4,3,3,1,0,better_job,5,2,4,4,4,5,5,5,5,5,5,5,,1,1,1,1,1,0,0,0,5,5,5,5,3,3,1,4,5,5,5,5,5,5,5,5,4,4,5,5,3,4,3,4,0,4,early,2022,streetdance,2to4,0,1,0,1,1,0,dsu,honam,4
29,3,job_prospects,1,on_interest,4,3,3,2,2,4,5,3,2,2,4,2,4,4,3,5,5,5,5,1,,1,1,2,1,1,1,4,1,1,professor,wherever,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,3,5,5,5,5,4,4,1,no_weight,1,2,1,honam,honam,independent,2,1,3,3,1,1,1,2,0,1,,3,3,4,3,2,4,3,4,4,4,3,3,,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,0,4,transfer,2024,streetdance,over10,1,1,0,1,1,0,dsu,honam,4
30,1,job_prospects,1,on_interest,4,4,4,4,3,4,5,3,3,2,4,5,4,5,4,4,5,5,5,1,,1,1,1,1,1,3,1,5,0,,yeongnam,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3,4,4,4,5,1,4,3,lose_weight,1,3,3,yeongnam,honam,independent,2,3,3,3,4,2,3,2,1,0,family_location,4,3,5,4,3,4,4,4,4,3,4,5,,1,1,1,1,1,1,0,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,4,early,2022,streetdance,7to10,1,1,1,1,1,1,dsu,honam,4
